,KBP1000M,KBP1005M,KBP1006M,KBP1007M,KBP1008M,KBP1009M,KBP1010M,KBP1011M,KBP1012M,KBP1013M,KBP1014M,KBP1015M,KBP1016M,KBP1017M,KBP1020M,KBP1021M,KBP1025M,KBP1026M,KBP1027M,KBP1028M,KBP1029M,KBP1030M,KBP1031M,KBP1033M,KBP1034M,KBP1035M,KBP1036M,KBP1042M,KBP1043M,KBP1045M,KBP1046M,KBP1047M,KBP1048M,KBP1049M,KBP1050M,KBP1051M,KBP1053M,KBP1061M,KBP1062M,KBP1063M,KBP1065M,KBP1066M,KBP1067M,KBP1069M,KBP1070M,KBP1071M,KBP1072M,KBP1073M,KBP1075M,KBP1076M,KBP1077M,KBP1078M,KBP1080M,KBP1081M,KBP1082M,KBP1083M,KBP1084M,KBP1085M,KBP1086M,KBP1087M,KBP1088M,KBP1089M,KBP1090M,KBP1091M,KBP1092M,KBP1093M,KBP1100M,KBP1101M,KBP1102M,KBP1104M,KBP1107M,KBP1108M,KBP1109M,KBP1110M,KBP1111M,KBP1113M,KBP1120M,KBP1121M,KBP1122M,KBP1123M,KBP1124M,KBP1125M,KBP1126M,KBP1127M,KBP1128M,KBP1129M,KBP1130M,KBP1131M,KBP1132M,KBP1143M,KBP1144M,KBP1145M,KBP1146M,KBP1147M,KBP1150M,KBP1152M,KBP1153M,KBP1154M,KBP1155M,KBP1160M,KBP1161M,KBP1162M,KBP1163M,KBP1166M,KBP1167M,KBP1168M,KBP1169M,KBP1170M,KBP1171M,KBP1172M,KBP1173M,KBP1174M,KBP1181M,KBP1182M,KBP1183M,KBP1184M,KBP1185M,KBP1191M,KBP1192M,KBP1193M,KBP1194M,KBP1198M,KBP1199M,KBP1200M,KBP1201M,KBP1202M,KBP1203M,KBP1204M,KBP1205M,KBP1206M,KBP1207M,KBP1208M,KBP1209M,KBP1210M,KBP1211M,KBP1212M,KBP1213M,KBP1220M,KBP1221M,KBP1222M,KBP1223M,KBP1224M,KBP1225M,KBP1227M,KBP1228M,KBP1229M,KBP1230M,KBP1231M,KBP1232M,KBP1240M,KBP1241M,KBP1242M,KBP1244M,KBP1245M,KBP1246M,KBP1247M,KBP1250M,KBP1251M,KBP1252M,KBP1255M,KBP1260M,KBP1261M,KBP1261N,KBP1262M,KBP1263M,KBP1263N,KBP1264M,KBP1265M,KBP1265N,KBP1273M,KBP1274M,KBP1275M,KBP1276M,KBP1277M,KBP1278M,KBP1279M,KBP1280M,KBP1281M,KBP1290M,KBP1291M,KBP1293M,KBP1294M,KBP1295M,KBP1296M,KBP1297M,KBP1298M,KBP1299M,KBP1300M,KBP1301M,KBP1312M,KBP1313M,KBP1314M,KBP1316M,KBP1319M,KBP1320M,KBP1321M,KBP1322M,KBP1330H,KBP1330M,KBP1334M,KBP1335M,KBP1336M,KBP1338M,KBP1339M,KBP1342M,KBP1344M,KBP1345M,KBP1346M,KBP1347A,KBP1347H,KBP1347I,KBP1347M,KBP1347N,KBP1348M,KBP1349M,KBP1350M,KBP1351M,KBP1352M,KBP1353M,KBP1356H,KBP1356M,KBP1358M,KBP1359M,KBP1360M,KBP1361M,KBP1362M,KBP1363M,KBP1364M,KBP1365M,KBP1367H,KBP1367I,KBP1367M,KBP1367N,KBP1368A,KBP1368M,KBP1369A,KBP1369M,KBP1370A,KBP1370M,KBP1371A,KBP1371M,KBP1372M,KBP1373A,KBP1373M,KBP1374A,KBP1374H,KBP1374I,KBP1374M,KBP1374N,KBP1375M,KBP1380H,KBP1380I,KBP1380M,KBP1380N,KBP1381H,KBP1381M,KBP1382I,KBP1382N,KBP1383I,KBP1383N,KBP1390M,KBP1392M,KBP1401M,KBP1403M,KBP1404M,KBP1414M,KBP1415M,KBP1416M,KBP1417M,KBP1442M,KBP1449M,KBP1455M,KBP1459M,KBP1470M,KBP1471M,KBP1472M,KBP1473M,KBP1474M,KBP1475M,KBP1476M,KBP1477M,KBP1478M,KBP1479M,KBP1480M,KBP1500M,KBP1501M,KBP1502M,KBP1505M,KBP1506M,KBP1507M,KBP1508M,KBP1509M,KBP1510M,KBP1511M,KBP1512M,KBP1513M,KBP1514M,KBP1600M,KBP1601M,KBP1602M,KBP1603M,KBP1604M,KBP1605M,KBP1606M,KBP1607M,KBP1608M,KBP1609M,KBP1610M,KBP1611M,KBP1612M,KBP1613M,KBP1614M,KBP1615M,KBP1616M,KBP1617M,KBP1618M,KBP1619M,KBP1620M,KBP1621M,KBP1622M,KBP1623M,KBP1624M,KBP1625M,KBP1626M,KBP1627M,KBP1628M,KBP1629M,KBP1630M,KBP1631M,KBP1632M,KBP1633M,KBP1634M,KBP1635M,KBP1636M,KBP1637M,KBP1638M,KBP1639M,KBP1640M,KBP1641M,KBP1642M,KBP1643M,KBP1644M,KBP1645M,KBP1646M,KBP1647M,KBP1648M,KBP1649M,KBP1650M,KBP1651M,KBP1652M,KBP1653M
19231000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19231100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19231200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19240900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19241000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19241100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19241200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
